"Zuccini", 71.78, 606
"Frutilla", 265.23, 288
"Ciruela", 975.99, 927
"Acelga", 14.81, 756
"Acelga", 18.47, 783
"Kinoto", 38.70, 218
"Pomelo", 40.54, 837
"Esparrago", 677.88, 238
"Palta", 504.18, 430
"Naranja", 22.10, 830
"Mandarina", 19.75, 1110
"Apio", 68.54, 240
"Lechuga", 40.42, 837
"Mandarina", 15.99, 1100
"Melon", 113.03, 472
"Uva", 676.82, 294
"Calabaza", 22.68, 664
"Lima", 1224.12, 192
"Frutilla", 301.66, 360
"Durazno", 161.92, 776
"Pomelo", 43.24, 747
"Naranja", 10.69, 830
"Caqui", 871.65, 114
"Calabaza", 14.35, 792
"Mandarina", 21.09, 1150
"Champignon", 3531.87, 90
"Rabanito", 234.23, 303
"TomCherry", 549.15, 208
"Coliflor", 27.73, 590
"Repollo", 7.13, 581
"Ciruela", 983.20, 1062
"Ciruela", 972.64, 999
"Frutilla", 300.81, 309
"Coliflor", 27.55, 550
"Rabanito", 238.09, 243
"Brocoli", 364.46, 356
"Lima", 1234.07, 198
"Durazno", 279.94, 864
"Choclo", 46.22, 303
"Higo", 2490.04, 112
"Zuccini", 80.95, 576
"Naranja", 19.99, 1160
"Lechuga", 53.97, 900
"Choclo", 50.29, 252
"Acelga", 19.85, 1062
"Palta", 489.96, 470
"Limon", 326.65, 588
"Sandia", 50.96, 747
"Melon", 119.33, 424
"Champignon", 3533.82, 106
"Cebolla", 72.34, 808
"Choclo", 34.91, 348
"Palta", 1162.26, 348
"Apio", 50.83, 243
"Lima", 1372.38, 210
"Sandia", 56.90, 1044
"Uva", 677.00, 339
"Lima", 1391.54, 230
"Naranja", 17.62, 1040
"Pera", 138.22, 980
"Lima", 1329.93, 226
"Pomelo", 39.95, 747
"Higo", 2575.14, 103
"TomCherry", 555.46, 196
"Tomate", 779.64, 738
"Lechuga", 42.36, 1053
"Kiwi", 454.35, 372
"Lima", 1037.52, 208
"Esparrago", 631.89, 160
"Limon", 337.95, 735
"Champignon", 3638.14, 97
"Lechuga", 47.24, 882
"Caqui", 831.88, 103
"Frambuesa", 1979.81, 108
"Higo", 2463.44, 117
"Lima", 1195.65, 166
"Repollo", 4.61, 581
"Lechuga", 50.96, 828
"Calabaza", 26.75, 816
"Banana", 66.05, 850
"Morron", 3005.85, 594
